header,latitude,longitude,altitude,accuracy,speed,heading,tracking,gps_fix,status
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987825, nanosec=845256953, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.1728467,-8.679667983333333,34.6,5.0,0.0,0.0,5,1,105
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987829, nanosec=391419856, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,106
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987833, nanosec=43239718, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,107
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987833, nanosec=43239718, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,107
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987833, nanosec=43239718, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17284105,-8.679668466666667,33.4,5.0,0.0,0.0,5,1,107
